order_id,line_no,product_id,quantity,list_price,discount_amount,unit_price
O000001,1,P0073,2,2802.0,420.3,2381.7
O000001,2,P0015,1,1188.0,178.2,1009.8
O000002,1,P0095,1,1968.0,295.2,1672.8
O000002,2,P0068,1,1096.0,164.4,931.6
O000002,3,P0046,2,413.0,0.0,413.0
O000002,4,P0093,1,3180.0,159.0,3021.0
O000002,5,P0063,1,8616.0,430.8,8185.2
O000003,1,P0015,1,1188.0,118.8,1069.2
O000003,2,P0010,2,7032.0,1406.4,5625.6
O000003,3,P0103,2,9427.0,942.7,8484.3
O000003,4,P0034,1,1724.0,172.4,1551.6
O000004,1,P0103,2,9427.0,0.0,9427.0
O000005,1,P0051,1,2113.0,316.95,1796.05
O000005,2,P0030,1,10734.0,536.7,10197.3
O000005,3,P0112,1,4364.0,0.0,4364.0
O000005,4,P0079,1,650.0,0.0,650.0
O000006,1,P0041,1,1356.0,203.4,1152.6
O000006,2,P0001,1,71818.0,3590.9,68227.1
O000006,3,P0043,1,2747.0,0.0,2747.0
O000007,1,P0046,1,413.0,0.0,413.0
O000007,2,P0073,3,2802.0,0.0,2802.0
O000007,3,P0074,2,65786.0,0.0,65786.0
O000008,1,P0112,2,4364.0,0.0,4364.0
O000008,2,P0102,1,18580.0,2787.0,15793.0
O000009,1,P0043,1,2747.0,686.75,2060.25
O000009,2,P0008,1,40335.0,2016.75,38318.25
O000009,3,P0091,2,4351.0,652.65,3698.35
O000009,4,P0044,1,42878.0,2143.9,40734.1
O000010,1,P0009,1,699.0,104.85,594.15
O000010,2,P0019,1,19838.0,991.9,18846.1
O000010,3,P0039,1,8497.0,0.0,8497.0
O000010,4,P0093,1,3180.0,318.0,2862.0
O000010,5,P0040,1,8368.0,2092.0,6276.0
O000011,1,P0036,1,68685.0,0.0,68685.0
O000011,2,P0115,2,1419.0,141.9,1277.1
O000012,1,P0083,1,3339.0,0.0,3339.0
O000012,2,P0013,1,5453.0,0.0,5453.0
O000012,3,P0026,1,11042.0,1656.3,9385.7
O000012,4,P0031,1,273.0,0.0,273.0
O000012,5,P0094,1,3152.0,0.0,3152.0
O000013,1,P0052,1,63069.0,0.0,63069.0
O000013,2,P0079,2,650.0,0.0,650.0
O000013,3,P0087,1,14136.0,2120.4,12015.6
O000013,4,P0103,2,9427.0,1885.4,7541.6
O000014,1,P0054,1,151.0,22.65,128.35
O000015,1,P0105,1,5260.0,0.0,5260.0
O000015,2,P0047,1,14456.0,2168.4,12287.6
O000015,3,P0055,1,24505.0,2450.5,22054.5
O000016,1,P0072,1,14849.0,1484.9,13364.1
O000016,2,P0036,1,68685.0,0.0,68685.0
O000016,3,P0047,1,14456.0,0.0,14456.0
O000016,4,P0067,1,2163.0,324.45,1838.55
O000017,1,P0070,1,1118.0,0.0,1118.0
O000018,1,P0068,1,1096.0,54.8,1041.2
O000018,2,P0004,1,1954.0,488.5,1465.5
O000019,1,P0014,1,1427.0,0.0,1427.0
O000020,1,P0053,2,4256.0,212.8,4043.2
O000020,2,P0117,1,1402.0,0.0,1402.0
O000020,3,P0118,1,2927.0,585.4,2341.6
O000020,4,P0049,1,13599.0,2039.85,11559.15
O000021,1,P0073,1,2802.0,280.2,2521.8
O000021,2,P0102,3,18580.0,0.0,18580.0
O000022,1,P0041,1,1356.0,339.0,1017.0
O000022,2,P0088,1,4772.0,0.0,4772.0
O000023,1,P0024,3,66.0,6.6,59.4
O000023,2,P0056,1,61408.0,0.0,61408.0
O000023,3,P0111,1,1507.0,0.0,1507.0
O000023,4,P0018,1,73251.0,7325.1,65925.9
O000024,1,P0113,1,14720.0,736.0,13984.0
O000024,2,P0043,2,2747.0,0.0,2747.0
O000024,3,P0115,1,1419.0,70.95,1348.05
